packet_owner,packet_type,gate_id,task_type,target_ref,metric_code,metric_name,current_status,priority,required_decision,required_evidence_fields,resolution_rule,boundary_note
库存运营 Owner,owner_signoff,signoff_8,owner_signoff,SCM-MECE-L3-027,business_available_qty,业务可用库存,未发起,P0,确认可用库存是否扣减预占、冻结、残次与不可售,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
库存运营 Owner,owner_signoff,signoff_9,owner_signoff,SCM-MECE-L3-032,stocking_planned_inventory_qty,备货计划库存,未发起,P0,确认备货计划库存的来源规则与默认0处理,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
库存运营 Owner,owner_signoff,signoff_16,owner_signoff,SCM-MECE-L3-044,negative_available_inventory_count,负可用库存经营主键数,未发起,P0,确认负可用库存的业务允许场景与例外,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
库存运营 Owner,owner_signoff,signoff_19,owner_signoff,SCM-MECE-L3-056,inventory_count_accuracy_rate,盘点准确率,未发起,P0,确认盘点差异分母与账实一致口径,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
库存运营 Owner,owner_signoff,signoff_10,owner_signoff,SCM-MECE-L3-113,sku_oos_rate,SKU 缺货率,未发起,P0,确认SKU缺货判断主键与应可售范围,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
库存运营 Owner,owner_signoff,signoff_11,owner_signoff,SCM-MECE-L3-114,unit_oos_rate,件数缺货率,未发起,P0,确认缺货件数损失的预测基线,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
库存运营 Owner,owner_signoff,signoff_12,owner_signoff,SCM-MECE-L3-115,gmv_oos_rate,金额缺货率,未发起,P0,确认缺货金额损失的GMV口径,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
库存运营 Owner,owner_signoff,signoff_13,owner_signoff,SCM-MECE-L3-116,stockout_loss_amount,断货损失金额,未发起,P0,确认损失金额采用GMV还是毛利,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
库存运营 Owner,owner_signoff,signoff_14,owner_signoff,SCM-MECE-L3-117,safety_stock_coverage_rate,安全库存覆盖率,未发起,P0,确认安全库存阈值版本和ABC分层,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
库存运营 Owner,owner_signoff,signoff_15,owner_signoff,SCM-MECE-L3-118,inventory_sales_match_score,库存-销售匹配度,未发起,P0,确认库存结构与销售结构的评分权重,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
库存运营 Owner,owner_signoff,signoff_17,owner_signoff,SCM-MECE-L3-122,storage_capacity_utilization_rate,库容利用率,未发起,P0,确认库容容量单位、可用库容与冻结库容处理,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
库存运营 Owner,owner_signoff,signoff_18,owner_signoff,SCM-MECE-L3-124,picking_uph,拣货效率 UPH,未发起,P0,确认作业小时、拣货件数和异常订单排除规则,owner; signoff_date; scope; definition_version; denominator; grain; exception_rules; evidence_ref,do_not_mark_confirmed_until_named_owner_supplies_signoff_receipt,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
库存运营 Owner,field_mapping,mapping_46,field_mapping,SCM-MECE-L3-113,sku_oos_rate,SKU 缺货率,待确认,P0,待确认源字段（表/字段）,source_system; source_table; source_field; join_key; grain; refresh_cadence; field_owner; sample_extract_ref,do_not_mark_confirmed_until_source_fields_are_named_and_owner_receipt_exists,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
库存运营 Owner,field_mapping,mapping_48,field_mapping,SCM-MECE-L3-114,unit_oos_rate,件数缺货率,待确认,P0,待确认源字段（表/字段）,source_system; source_table; source_field; join_key; grain; refresh_cadence; field_owner; sample_extract_ref,do_not_mark_confirmed_until_source_fields_are_named_and_owner_receipt_exists,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
库存运营 Owner,field_mapping,mapping_43,field_mapping,SCM-MECE-L3-115,gmv_oos_rate,金额缺货率,待确认,P0,待确认源字段（表/字段）,source_system; source_table; source_field; join_key; grain; refresh_cadence; field_owner; sample_extract_ref,do_not_mark_confirmed_until_source_fields_are_named_and_owner_receipt_exists,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
库存运营 Owner,field_mapping,mapping_47,field_mapping,SCM-MECE-L3-116,stockout_loss_amount,断货损失金额,待确认,P0,待确认源字段（表/字段）,source_system; source_table; source_field; join_key; grain; refresh_cadence; field_owner; sample_extract_ref,do_not_mark_confirmed_until_source_fields_are_named_and_owner_receipt_exists,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
库存运营 Owner,field_mapping,mapping_45,field_mapping,SCM-MECE-L3-117,safety_stock_coverage_rate,安全库存覆盖率,待确认,P0,待确认源字段（表/字段）,source_system; source_table; source_field; join_key; grain; refresh_cadence; field_owner; sample_extract_ref,do_not_mark_confirmed_until_source_fields_are_named_and_owner_receipt_exists,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
库存运营 Owner,field_mapping,mapping_52,field_mapping,SCM-MECE-L3-118,inventory_sales_match_score,库存-销售匹配度,待确认,P0,待确认源字段（表/字段）,source_system; source_table; source_field; join_key; grain; refresh_cadence; field_owner; sample_extract_ref,do_not_mark_confirmed_until_source_fields_are_named_and_owner_receipt_exists,manual_review_required; keep productionWrites=false/providerCalls=false/erpWriteback=false until accepted
